"collaterals","timestamp","total_value"
"79837699630931",1627030804387,"578782716383648.07972"
"79737848545454",1626944404326,"564420906129517.76278"
"79617401987667",1626858001485,"498616819728500.6472"
"79289184979804",1626771600720,"444700711635354.12675"
"78649265403615",1626685204217,"498363346656369.07559"
"78689494213033",1626598802719,"522942910572294.68076"
"78457872373685",1626512406525,"504474366651891.15211"
"78487157248136",1626426002686,"509554123764251.13225"
"78260562989257",1626339604032,"551109338161561.27135"
"78073655438895",1626253206481,"522559597206459.1199"
"76852089408605",1626166805568,"606814376458897.88532"
"76864750254014",1626080404166,"634769634524810.59412"
"76955228287693",1625994005612,"642154743202125.96484"
"76849795291454",1625907606132,"622530256610400.50692"
"76945460644277",1625822934637,"560300830217128.99145"
"76944277584712",1625821202725,"547511171645823.11476"
"76899536807133",1625734806107,"515198364305239.22088"
"76570466874447",1625648404908,"542829101198805.51386"
"76420133735629",1625562005700,"488772850209334.42013"
"76387939828960",1625475601447,"446589749963750.24255"
"76093854413257",1625389203536,"457776023415410.93557"
"75934296720352",1625302801170,"447632504320131.38749"
"75460232798169",1625216402731,"432520046759286.54725"
"75134349576376",1625130004049,"441760446501893.69361"
"74839229172681",1625043601968,"447387211712958.84116"
"74515635671330",1624957207018,"417042760852674.25541"
"73985171073416",1624870805766,"398853573134657.4026"
"73727611340872",1624784400266,"384969650384897.07184"
"73632512399978",1624698002514,"365065359607510.87763"
"73307654141348",1624611603815,"388444174040195.89132"
"72947006420005",1624525203441,"387560585729709.77417"
"72705810201873",1624440995968,"380972387544628.75382"
"72606619416740",1624438800934,"382713163573521.08121"
"69651061602460",1624352400941,"340332605181735.22951"
"68997810557158",1624266005881,"367680122596212.81506"
"68514978530460",1624179605391,"391868947178425.64893"
"68093380031640",1624112977869,"395309960572833.331"
"67960992522670",1624093204263,"398152276458068.12076"
"67325864647911",1624006803523,"427390280201305.33613"
"66490932422230",1623920411002,"422552948345429.42474"
"66208043253526",1623834000471,"425195368162005.83453"
"65394244135467",1623747605571,"413858338172377.34458"
"64943513191144",1623661201108,"382328676928334.1221"
"63924901305773",1623574802544,"352716301876895.85286"
"63026075179900",1623488400305,"358918393840232.57532"
"62119965966880",1623402007186,"371023595011309.18754"
"61138325919939",1623315600373,"345898430766581.02469"
"59932834397322",1623229205189,"331437467655475.94833"
"58484657002843",1623142804700,"326015432210714.61841"
"57364055563065",1623056400054,"357226422313863.09083"
"56461590195477",1622970005165,"353543464491807.6876"
"56150962665174",1622883602862,"384047489570027.95405"
"55424224747248",1622797203926,"357528487318000.71492"
"54529588121295",1622710805537,"374944901591046.00328"
"54265538214289",1622624404509,"361229244859391.05923"
"54145003160847",1622538003492,"338179671157903.05111"
"49311729915488",1622437622168,"279704089683400.22176"
"49046366154530",1622351218470,"271640567107602.67722"
"48393199519789",1622264818307,"281728243485221.97503"
"48164237104913",1622178416083,"305818107216196.32136"
"47733191502312",1622019602694,"344687881277607.45473"
"47305802353568",1621933204672,"273363116191805.11142"
"46612878281239",1621846806651,"293636925245677.24335"
"43811842919737",1621760401864,"240865291852008.16084"
"45087532193073",1621674003842,"345866001912535.69963"
"42843075764895",1621587605820,"434894257015559.24867"
"43593966027310",1621501201033,"418346866767545.70157"
"44037321505982",1621414803011,"620430785382955.41571"
"44128713069845",1621328404989,"682532186068593.6663"
"44037782147077",1621242000202,"687585423264860.13994"
"44476681510439",1621155602180,"718988091706015.85068"
"44196046030285",1621069204158,"700693426578656.32296"
"44106825396587",1620982806137,"681491180633168.86698"
"43769372560431",1620896401350,"715287325748640.68623"
"43686915973701",1620810003328,"737034227720310.55745"
"43575640500273",1620723605307,"696188796892725.08907"
"43660854600503",1620637200520,"758293322160902.54147"
"43655315120819",1620550802498,"749079612875328.8484"
"43622846466511",1620464404476,"733868990209564.02501"
"43611550201376",1620424652321,"734039200485047.54908"
"43544819899367",1620346707102,"731613014437656.86185"
"43212582854688",1620259535386,"735213295566366.17668"
"43287212534388",1620172763632,"707255845341248.05104"
"43075703899231",1620085766427,"740890840192618.30156"
"43015246687583",1619998585985,"738058739951171.03093"
"42958742176417",1619911773035,"710775164816942.2009"
"42831522897107",1619825094816,"716882506453013.8766"
"41058155671561",1619738454063,"665812758764957.02317"
"38920756310038",1619651864262,"650164271042376.81741"
"38443311243052",1619565326840,"680109379144629.23492"
"38506184279936",1619478679975,"675589917640732.68062"
"38431180977324",1619392001931,"676969575051509.09717"
"37817374951652",1619305446722,"603208998858214.10771"
"37693278897691",1619219243897,"525411966708991.39039"
"37323894461876",1619132864134,"516223232635629.14147"
"37215147634216",1619046544622,"501360799021284.21807"
"36937169897882",1618960060908,"501038183323043.30863"
"34793906597228",1618873762598,"497024851092305.08111"
"34591840591186",1618787723926,"472508216636743.00438"
"33719730150030",1618701521905,"520369884736932.67446"
"32071424428448",1618615316381,"508938401668669.67837"
"31942220550136",1618528860912,"535651825406508.62904"
"31174245838883",1618441830097,"473693456180494.23979"
"30592679227319",1618354882542,"477916515171010.2308"
"29975796665993",1618267951838,"442716889679941.36163"
"29025048362521",1618180743726,"443001267560304.7391"
"28409547311741",1618093668479,"428797320630894.98176"
"27512180729623",1618006467965,"438414720886514.75298"
"23425653529012",1617919351691,"371052803453948.2182"
"21703527317464",1617832382378,"333410416818168.74822"
"19914185126454",1617746200800,"332997121955210.73599"
"18958884302786",1617660163290,"335381346175483.69057"
"19042610107813",1617574214279,"345506491405370.63156"
"18932453981479",1617488301304,"341761183125637.98688"
"18859604553402",1617402414893,"348380066190537.35279"
"19537803489409",1617316666535,"358541194329920.04423"
"19174871971031",1617231335844,"359110609463272.57889"
"18840456949978",1617146191026,"351495696071033.64971"
"18627400332195",1617060557028,"353346357899870.18653"
"16153199493912",1616975780756,"298898289249587.83276"
"15987399961429",1616890908035,"297743595893218.05507"
"15856428655325",1616805985973,"294396172663147.49909"
"15340331290141",1616721020077,"256682007507945.08639"
"14207020468723",1616636339123,"230075681381834.92675"
"13048341045470",1616552113141,"212922628469689.6676"
"10740791354034",1616467545872,"211119748022557.60705"
"9779257134830",1616383070205,"211479345653622.16937"
"9361614213883",1616298851477,"200380865960279.37764"
"8783108519133",1616214786793,"177404663737179.26294"
"7902932437020",1616129935776,"167857971149663.0829"
"6593406620205",1616045520541,"117955004796557.55434"
